artist,song,duration_ms,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Anastacia,Left Outside Alone,257426,2004,65,0.663,0.746,2,-3.567,0,0.0321,0.0697,0,0.0929,0.325,102.847,Pop
Daddy Yankee,Gasolina,192600,2004,11,0.857,0.801,0,-6.499,1,0.0618,0.332,1.20E-06,0.0789,0.753,96.009,Latin
Black Eyed Peas,Let's Get It Started - Spike Mix,217733,2004,53,0.785,0.799,11,-2.208,0,0.126,0.117,0,0.292,0.797,104.923,"Hip-hop, Pop"
O-Zone,Dragostea Din Tei,215431,2004,56,0.809,0.965,0,-3.947,1,0.0427,0.177,0,0.0577,0.672,130.103,Pop
Terror Squad,Lean Back,247426,2004,67,0.783,0.916,1,-3.344,1,0.415,0.11,0,0.0746,0.695,95.321,Hip-hop
Anastacia,Sick and Tired,212266,1999,56,0.598,0.868,0,-4.552,1,0.0373,0.00908,0,0.279,0.47,99.848,Pop
Gwen Stefani,What You Waiting For?,221226,2004,60,0.676,0.948,5,-2.557,1,0.0628,0.0509,8.19E-06,0.384,0.731,136.027,"Pop, R&B"
Ashanti,Only U - No Intro,186306,2004,56,0.601,0.621,6,-5.576,0,0.0434,0.0374,1.75E-06,0.188,0.278,94.547,"Hip-hop, Pop, R&B"
The Rasmus,In the Shadows,257920,2003,68,0.6,0.796,2,-4.481,1,0.0275,0.000109,5.20E-05,0.484,0.75,105.991,Metal
Houston,I Like That,236520,2004,59,0.797,0.502,10,-3.925,0,0.0968,0.0154,0,0.1,0.385,106.997,"Hip-hop, Pop"
Beyoncé,Naughty Girl,208600,2003,63,0.735,0.466,6,-8.65,0,0.0857,0.239,6.24E-06,0.102,0.643,99.973,"Pop, R&B"
Linkin Park,Numb,185586,2003,81,0.496,0.863,9,-4.153,1,0.0381,0.0046,0,0.639,0.243,110.018,"Rock, Metal"
Lloyd Banks,On Fire,187280,2004,61,0.759,0.825,8,-4.289,1,0.22,0.0923,0.00057,0.24,0.429,94.857,"Hip-hop, Pop"
Akon,Locked Up,235066,2004,16,0.818,0.579,7,-4.475,1,0.101,0.023,0,0.107,0.354,89.987,Pop
D12,My Band,298773,2004,73,0.851,0.849,1,-3.383,0,0.0828,0.497,2.05E-06,0.116,0.844,120.014,"Hip-hop, Pop, Rock"
Jay Sean,Eyes On You - Radio Mix,190493,2004,42,0.802,0.672,7,-4.971,1,0.0847,0.0775,0,0.136,0.619,96.525,"Hip-hop, Pop, R&B"
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,257333,2016,66,0.833,0.515,11,-5,0,0.0462,0.347,0.00156,0.116,0.4,97.007,Pop
Destiny's Child,Lose My Breath,242013,2004,61,0.814,0.899,1,-5.958,1,0.0637,0.00727,0.219,0.0979,0.545,119.011,"Pop, R&B"
Eric Prydz,Call on Me - Radio Mix,171360,2004,72,0.597,0.837,10,-6.518,1,0.375,0.00427,0.00115,0.839,0.447,126.342,"Pop, Dance/Electronic"
Ciara,Goodies (feat. Petey Pablo),223000,2004,67,0.826,0.647,5,-6.306,0,0.0491,0.0277,1.52E-06,0.298,0.872,102.017,"Pop, R&B"
Kelis,Trick Me,206106,2003,63,0.97,0.72,1,-3.347,0,0.149,0.0369,0.000389,0.326,0.962,107.17,"Pop, R&B, Dance/Electronic"
LL Cool J,Headsprung,267320,2004,56,0.718,0.786,0,-5.76,1,0.0284,0.0114,2.50E-05,0.0745,0.465,99.916,"Hip-hop, Pop, R&B"
Spiderbait,Black Betty - Edit,205973,2004,63,0.562,0.865,7,-6.476,0,0.0922,2.06E-05,0.591,0.219,0.35,124.047,Rock
George Michael,Amazing,265826,2004,57,0.805,0.754,10,-6.825,0,0.0394,0.0884,1.77E-06,0.117,0.88,128.429,set()
Britney Spears,My Prerogative,213893,2004,53,0.749,0.938,10,-4.423,0,0.118,0.0127,1.96E-06,0.103,0.619,111.014,Pop
Nina Sky,Move Ya Body,232000,2004,67,0.87,0.712,11,-6.313,0,0.0432,0.0202,0.000331,0.0576,0.877,121.057,"Pop, R&B"
Baby Bash,Suga Suga,239026,2003,73,0.662,0.748,5,-3.041,0,0.268,0.688,8.43E-06,0.0841,0.535,82.331,"Hip-hop, Pop, R&B, Latin"
Petey Pablo,Freek-A-Leek,235186,2003,56,0.737,0.697,2,-3.716,1,0.254,0.0756,0,0.359,0.662,104.917,"Hip-hop, Pop"
JAY-Z,Dirt Off Your Shoulder,245173,2003,53,0.779,0.655,1,-7.147,1,0.318,0.0319,2.63E-06,0.339,0.645,163.971,Hip-hop
Juanes,La Camisa Negra,216706,2004,70,0.751,0.731,6,-4.419,0,0.0308,0.0838,0,0.0556,0.973,97.007,"Pop, Latin"
Avril Lavigne,Nobody's Home,212413,2004,61,0.348,0.907,5,-3.66,0,0.0497,0.000516,0,0.161,0.177,185.406,Pop
Robbie Williams,Radio,233600,2004,33,0.607,0.874,5,-5.409,0,0.0349,0.00331,0.0494,0.26,0.846,130.015,"Pop, Rock"
Black Eyed Peas,Hey Mama,214893,2003,49,0.86,0.866,4,-6.345,0,0.232,0.104,1.42E-06,0.584,0.933,100.15,"Hip-hop, Pop"
Ying Yang Twins,Salt Shaker,252440,2003,61,0.884,0.697,11,-6.022,1,0.128,0.0509,0,0.094,0.322,101.965,"Hip-hop, Pop"
Enrique Iglesias,Not In Love - Radio Mix,223133,2003,37,0.762,0.885,0,-5.096,0,0.0395,0.0371,0,0.0519,0.886,117.021,"Pop, Latin"
Kelis,Milkshake,182626,2003,68,0.881,0.774,1,-6.068,1,0.0439,0.00986,0.0346,0.206,0.759,112.968,"Pop, R&B, Dance/Electronic"
Linkin Park,Breaking the Habit,196906,2003,68,0.579,0.849,4,-5.218,0,0.0303,0.108,0,0.0909,0.581,100.021,"Rock, Metal"
JoJo,Leave (Get Out) - Radio Edit,242746,2005,49,0.656,0.513,5,-8.691,1,0.253,0.156,6.45E-05,0.0763,0.464,86.891,"Hip-hop, Pop, R&B"
Christina Milian,Dip It Low,197186,2004,45,0.752,0.722,11,-4.207,0,0.104,0.0108,0.000536,0.0753,0.612,169.131,"Hip-hop, Pop, R&B"
Avant,Read Your Mind,263506,2003,56,0.755,0.381,8,-6.696,0,0.0711,0.291,5.13E-06,0.0974,0.695,73.108,"Pop, R&B"
Eminem,Just Lose It,248680,2004,67,0.94,0.633,8,-3.56,1,0.0467,0.0581,4.04E-05,0.281,0.962,121.003,Hip-hop
Sugababes,Too Lost In You,237693,2003,58,0.586,0.705,1,-4.904,0,0.0287,0.0485,0,0.15,0.459,98.014,"Pop, R&B"
Snoop Dogg,Drop It Like It's Hot,266066,2004,39,0.892,0.628,1,-3.832,1,0.216,0.169,0,0.102,0.676,92.063,"Hip-hop, Pop"
Sean Paul,I'm Still in Love with You (feat. Sasha),273360,2002,68,0.765,0.666,7,-5.384,1,0.172,0.102,0,0.116,0.756,87.002,"Hip-hop, Pop"
The Shapeshifters,Lola's Theme - Radio Edit,207066,2004,65,0.748,0.845,5,-4.612,0,0.0536,0.00083,0.000225,0.068,0.659,123.925,Dance/Electronic
D12,How Come,249533,2004,57,0.745,0.858,9,-2.221,1,0.237,0.28,0,0.188,0.547,89.983,"Hip-hop, Pop, Rock"
Basement Jaxx,Good Luck,282306,2003,0,0.571,0.968,5,-3.092,1,0.162,0.0649,3.07E-06,0.592,0.313,154.07,"Pop, Dance/Electronic"
Kevin Lyttle,Turn Me On,192106,2004,67,0.677,0.682,9,-6.879,1,0.0361,0.0405,0,0.0351,0.875,106.279,Hip-hop
Chingy,One Call Away,276800,2003,61,0.765,0.821,4,-5.926,0,0.183,0.0918,0,0.217,0.962,162.519,"Hip-hop, Pop, R&B"
T.I.,Bring Em Out,216706,2004,63,0.759,0.891,11,-2.983,1,0.257,0.0298,0,0.141,0.587,98.579,"Hip-hop, Pop"
DJ Casper,Cha Cha Slide - Hardino Mix,222146,2004,51,0.853,0.911,11,-6.722,0,0.125,0.0436,0.00571,0.287,0.802,131.012,set()
Kylie Minogue,I Believe in You,200973,2004,47,0.548,0.785,7,-5.087,1,0.0704,0.00277,0.048,0.329,0.418,120.939,"Pop, Dance/Electronic"
Twista,Overnight Celebrity,233360,2004,66,0.828,0.792,10,-5.435,0,0.179,0.182,0,0.281,0.777,134.199,"Hip-hop, Pop, R&B"
N.E.R.D,She Wants To Move,213786,2004,57,0.766,0.851,5,-4.831,1,0.0786,0.00402,0.000744,0.256,0.8,115.012,Hip-hop
Britney Spears,Everytime,230306,2003,63,0.398,0.284,3,-12.852,1,0.0337,0.966,8.57E-05,0.116,0.114,109.599,Pop
U2,Vertigo,193520,2004,64,0.416,0.819,9,-3.974,1,0.0613,0.000138,0.00108,0.147,0.632,140.083,"World/Traditional, Rock"
Franz Ferdinand,Take Me Out,237026,2004,77,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,Rock
J-Kwon,Tipsy - Club Mix,247106,2001,59,0.925,0.741,9,-5.827,0,0.315,0.0653,0,0.044,0.654,93.04,"Hip-hop, Pop"
G-Unit,Wanna Get To Know You,265026,2003,61,0.513,0.826,10,-3.651,0,0.132,0.106,0,0.0675,0.889,76.91,"Hip-hop, Pop"
Lil' Flip,Sunshine (feat. Lea),225173,2004,42,0.814,0.387,0,-9.867,1,0.0946,0.0248,0,0.131,0.792,93.961,"Hip-hop, Pop"
Kanye West,Jesus Walks,193733,2004,73,0.637,0.834,3,-4.686,0,0.323,0.614,0,0.317,0.715,87.312,Hip-hop
Evanescence,My Immortal,262533,2003,72,0.19,0.265,9,-9.206,1,0.0356,0.863,0,0.134,0.101,79.012,Metal
Nelly,My Place,336506,2004,57,0.6,0.641,1,-4.237,0,0.0423,0.0498,1.49E-06,0.0982,0.642,163.153,"Hip-hop, Pop, R&B"
Lemar,If There's Any Justice,229080,2004,46,0.706,0.665,6,-5.348,0,0.0453,0.0128,0,0.338,0.639,89.993,R&B
No Doubt,It's My Life,226053,2003,60,0.612,0.735,8,-5.074,0,0.0282,0.00202,0.00118,0.328,0.783,126.326,"Rock, Pop"
Avril Lavigne,Don't Tell Me,202013,2004,58,0.523,0.795,4,-2.92,1,0.0386,0.00462,0,0.358,0.484,144.106,Pop
Twista,Slow Jamz,316053,2004,72,0.559,0.733,2,-5.659,0,0.171,0.314,0,0.284,0.611,145.115,"Hip-hop, Pop, R&B"
Green Day,American Idiot,176346,2004,77,0.38,0.988,1,-2.042,1,0.0639,2.64E-05,7.86E-05,0.368,0.769,186.113,Rock
Kelis,Millionaire,224933,2003,57,0.68,0.847,11,-6.636,1,0.108,0.0217,0,0.0374,0.75,176.051,"Pop, R&B, Dance/Electronic"
Scissor Sisters,Comfortably Numb,266040,2004,43,0.803,0.924,7,-6.466,1,0.0391,0.237,0.0167,0.104,0.788,116.972,"Pop, Rock, Dance/Electronic"
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),284160,2003,55,0.663,0.465,8,-9.711,0,0.0317,0.555,0.00183,0.125,0.279,127.932,"Pop, R&B"
Kanye West,Through The Wire,221226,2004,76,0.571,0.739,7,-6.11,1,0.247,0.00865,5.21E-06,0.158,0.66,83.089,Hip-hop
Special D.,Come With Me - Radio Edit,185133,2004,61,0.739,0.999,7,-5.077,1,0.0803,0.13,0.00224,0.28,0.501,139.982,Pop
Ludacris,Splash Waterfalls,290760,2003,48,0.734,0.846,11,-6.102,1,0.409,0.101,0,0.233,0.702,145.894,"Hip-hop, Pop"
Avril Lavigne,My Happy Ending,242413,2004,68,0.414,0.936,2,-2.407,1,0.0758,0.00136,0,0.369,0.74,170.229,Pop
Dido,White Flag,240040,2003,44,0.512,0.525,5,-6.823,1,0.0401,0.327,3.30E-06,0.081,0.294,169.951,Pop
Eamon,Fuck It (I Don't Want You Back),225106,2004,64,0.828,0.653,0,-6.245,0,0.0653,0.214,3.25E-06,0.0404,0.575,68.507,set()
Beyoncé,"Me, Myself and I",301133,2003,62,0.75,0.458,1,-9.092,1,0.0803,0.226,3.25E-05,0.137,0.536,83.61,"Pop, R&B"
3 Doors Down,Here Without You,238733,2002,74,0.557,0.533,10,-6.817,0,0.0252,0.0492,0,0.205,0.233,143.994,"Pop, Rock, Metal"
Kanye West,All Falls Down,223506,2004,80,0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03,Hip-hop
Twista,Sunshine (feat. Anthony Hamilton),226013,2004,56,0.926,0.888,11,-5.337,1,0.294,0.261,0,0.348,0.819,98.523,"Hip-hop, Pop, R&B"
Katie Melua,The Closest Thing to Crazy,252466,2003,55,0.562,0.219,4,-13.2,1,0.0312,0.856,0.000296,0.0979,0.106,127.831,"Pop, easy listening, Jazz"
Usher,My Boo,223440,2004,76,0.662,0.507,5,-8.238,1,0.118,0.257,0,0.0465,0.676,86.412,"Hip-hop, Pop, R&B"
Lloyd,Southside,277840,2004,59,0.688,0.404,9,-9.481,0,0.0818,0.377,0,0.0813,0.448,75.007,"Hip-hop, Pop, R&B"
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,171546,2004,59,0.668,0.905,6,-5.395,1,0.038,0.00232,0.0331,0.141,0.667,128.658,Dance/Electronic
The Streets,Fit but You Know It,254266,2004,58,0.68,0.844,6,-1.729,1,0.299,0.23,0,0.0305,0.895,172.302,"Hip-hop, Dance/Electronic"
JUVENILE,Slow Motion,248200,2003,64,0.713,0.734,0,-4.894,0,0.325,0.548,0,0.0687,0.89,172.872,"Hip-hop, Pop"
Outkast,The Way You Move (feat. Sleepy Brown),234000,2003,66,0.871,0.597,5,-4.932,0,0.0464,0.126,0.000113,0.0638,0.635,125.999,"Hip-hop, Pop"
Girls Aloud,Love Machine,205360,2004,59,0.663,0.95,7,-4.21,1,0.0621,0.00127,0.00492,0.0753,0.697,116.02,"Pop, Dance/Electronic"
Jessica Simpson,With You,191826,2003,57,0.553,0.756,0,-4.583,1,0.108,0.0923,0,0.215,0.605,94.487,"Pop, R&B"
Eminem,Like Toy Soldiers,296880,2004,48,0.52,0.768,8,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178,Hip-hop
Gary Jules,Mad World (Feat. Michael Andrews),189506,2001,65,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,Pop
Ashlee Simpson,Pieces Of Me,217440,2004,56,0.505,0.799,2,-4.286,1,0.0773,0.0572,0,0.11,0.772,174.001,Pop
Will Young,Leave Right Now,214733,2003,55,0.641,0.445,6,-8.674,1,0.0368,0.145,0,0.108,0.383,81.931,Pop
Alicia Keys,You Don't Know My Name,366733,2003,61,0.264,0.663,9,-8.264,1,0.187,0.59,0.00443,0.342,0.249,167.078,"Pop, R&B"
Mariah Carey,We Belong Together,201400,2005,69,0.84,0.476,0,-7.918,1,0.0629,0.0264,0,0.0865,0.767,139.987,"Pop, R&B"
Mario,Let Me Love You,256733,2004,72,0.656,0.578,7,-8.97,0,0.0922,0.235,0,0.118,0.556,94.514,"Pop, R&B"
Kanye West,Gold Digger,207626,2005,78,0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,Hip-hop
Rihanna,Pon de Replay,246960,2005,77,0.779,0.64,7,-8.415,1,0.159,0.000155,0.00077,0.101,0.498,99.019,"Hip-hop, Pop, R&B"
50 Cent,Candy Shop,209106,2005,79,0.614,0.574,11,-7.961,1,0.466,0.0253,3.20E-05,0.38,0.755,125.173,"Hip-hop, Pop"
James Blunt,You're Beautiful,209493,2005,75,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76E-05,0.088,0.454,81.998,Pop
Green Day,Boulevard of Broken Dreams,261266,2004,72,0.49,0.679,8,-3.68,1,0.0309,0.00394,1.54E-05,0.0383,0.506,167.046,Rock
The Pussycat Dolls,Don't Cha,272080,2005,72,0.875,0.631,1,-3.475,1,0.099,0.00542,2.54E-06,0.127,0.549,120.003,"Pop, R&B"
Daniel Powter,Bad Day,233640,2005,74,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,Pop
Akon,Bananza (Belly Dancer),238493,2004,28,0.878,0.699,10,-5.897,0,0.132,0.0345,3.37E-06,0.755,0.666,104.838,Pop
Madonna,Hung Up,337733,2005,74,0.649,0.647,9,-7.695,0,0.0452,0.0039,0.161,0.0686,0.405,125.02,Pop
50 Cent,Just A Lil Bit,237706,2005,76,0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,"Hip-hop, Pop"
Crazy Frog,Axel F,168879,2005,67,0.86,0.907,2,-3.321,1,0.0407,0.279,0.693,0.0648,0.786,138.045,Pop
Eminem,Ass Like That,265480,2004,52,0.646,0.796,2,-6.152,1,0.366,0.409,0,0.107,0.676,83.093,Hip-hop
Sean Paul,We Be Burnin',213066,2005,59,0.95,0.803,1,-4.195,1,0.151,0.145,0,0.0748,0.86,117,"Hip-hop, Pop"
Gwen Stefani,Rich Girl,236213,2004,68,0.856,0.754,7,-2.728,0,0.0416,0.0294,1.49E-05,0.206,0.722,98.018,"Pop, R&B"
The Chemical Brothers,Galvanize,393813,2005,63,0.745,0.714,7,-3.681,1,0.0751,0.0141,0.0222,0.363,0.365,104.003,Dance/Electronic
Fort Minor,Remember the Name (feat. Styles of Beyond),230493,2005,73,0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87E-06,0.0795,0.88,84.858,"Hip-hop, Pop, Rock"
50 Cent,Disco Inferno,214226,2005,72,0.925,0.659,3,-4.763,1,0.231,0.206,7.88E-05,0.279,0.71,97.018,"Hip-hop, Pop"
The Game,How We Do,235533,2005,74,0.862,0.648,4,-7.401,0,0.251,0.0455,0,0.0332,0.637,98.012,"Hip-hop, Pop"
Chris Brown,Run It! (feat. Juelz Santana),229866,2005,71,0.846,0.482,1,-6.721,0,0.129,0.0246,0,0.393,0.212,100.969,"Hip-hop, Pop, R&B"
Mariah Carey,It's Like That,203360,2005,0,0.8,0.633,8,-4.875,0,0.0514,0.0901,0,0.0315,0.836,95.953,"Pop, R&B"
Black Eyed Peas,My Humps,326960,2005,67,0.802,0.682,1,-5.924,0,0.222,0.111,1.39E-05,0.109,0.586,123.95,"Hip-hop, Pop"
Ciara,Oh (feat. Ludacris),256346,2004,61,0.8,0.496,7,-7.135,1,0.0506,0.000298,0,0.0697,0.357,128.29,"Pop, R&B"
50 Cent,Outta Control - Remix,247506,2005,60,0.772,0.599,8,-5.996,0,0.246,0.0277,0,0.0839,0.557,92.029,"Hip-hop, Pop"
Baby Bash,"Baby, I'm Back",219920,2005,4,0.899,0.365,9,-5.461,0,0.105,0.0508,0,0.097,0.749,100.01,"Hip-hop, Pop, R&B, Latin"
Jennifer Lopez,Get Right,225533,2005,65,0.741,0.759,0,-5.096,0,0.12,0.0218,0,0.628,0.362,97.084,"Hip-hop, Pop, R&B"
JAY-Z,Numb / Encore,205733,2004,76,0.687,0.793,2,-4.254,1,0.166,0.0603,0,0.582,0.751,107.045,Hip-hop
The Game,Hate It Or Love It,206400,2005,77,0.802,0.785,9,-4.781,1,0.207,0.14,0,0.123,0.435,99.998,"Hip-hop, Pop"
Gorillaz,Feel Good Inc.,222640,2005,82,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,Hip-hop
Black Eyed Peas,Don't Phunk With My Heart,239773,2005,62,0.69,0.928,5,-2.76,0,0.061,0.00937,0,0.547,0.604,130.889,"Hip-hop, Pop"
Akon,Lonely,235800,2004,21,0.629,0.532,5,-7.88,0,0.0352,0.331,0,0.238,0.619,90.098,Pop
Bodyrockers,I Like The Way - Radio Edit,200053,2005,54,0.642,0.851,6,-3.638,1,0.0431,0.0248,0.0146,0.084,0.777,127.988,"Rock, Dance/Electronic"
Sugababes,Push The Button,218093,2005,64,0.962,0.66,8,-5.096,1,0.061,0.0485,0,0.076,0.814,126.016,"Pop, R&B"
Jeezy,Soul Survivor,280013,2005,55,0.684,0.493,10,-7.728,1,0.0459,0.000839,0,0.157,0.08,84.03,"Hip-hop, Pop"
Eminem,Mockingbird,250760,2004,77,0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,Hip-hop
Shakira,La Tortura (feat. Alejandro Sanz),212893,2005,72,0.74,0.783,0,-5.367,1,0.0427,0.0297,0.000308,0.123,0.812,100.011,"Pop, Latin"
Gorillaz,DARE,244999,2005,73,0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,Hip-hop
Snoop Dogg,Signs,236813,2004,54,0.94,0.713,7,-5.308,1,0.127,0.0319,0.00076,0.325,0.666,112.955,"Hip-hop, Pop"
Robbie Williams,Tripping,276603,2005,58,0.666,0.922,2,-4.458,0,0.0429,0.0381,0.000191,0.0633,0.828,118.014,"Pop, Rock"
David Banner,Play,230133,2005,52,0.837,0.658,1,-8.013,0,0.126,0.000213,0.122,0.243,0.586,95.027,"Hip-hop, Pop"
Trillville,Some Cut,283454,2004,50,0.9,0.515,1,-6.626,1,0.372,0.00341,0,0.111,0.659,84.995,"Hip-hop, Pop"
D4L,Laffy Taffy,224253,2005,63,0.891,0.439,7,-7.994,0,0.428,0.0351,0,0.0932,0.622,77.499,"Hip-hop, Pop"
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),226863,2005,67,0.904,0.813,4,-7.105,0,0.121,0.0311,0.00697,0.0471,0.81,125.461,"Hip-hop, Pop, R&B"
Rob Thomas,Lonely No More,226640,2005,56,0.551,0.896,9,-3.152,0,0.109,0.033,0,0.0899,0.858,171.79,"Pop, Folk/Acoustic"
Brian McFadden,Almost Here,229826,2004,42,0.561,0.452,9,-7.324,0,0.0336,0.409,0,0.106,0.316,77.984,set()
Bobby V.,"Slow Down - 12"" Version",258666,2005,65,0.568,0.732,11,-4.896,0,0.103,0.179,4.92E-06,0.401,0.626,186.048,"Hip-hop, Pop, R&B"
Backstreet Boys,Incomplete,239586,2005,63,0.437,0.589,4,-4.834,1,0.0331,0.231,0,0.0768,0.165,133.631,Pop
Pretty Ricky,Grind With Me,237733,2005,63,0.7,0.538,1,-5.952,1,0.045,0.000204,0,0.105,0.189,136.518,"Hip-hop, Pop, R&B"
Kanye West,Diamonds From Sierra Leone - Remix,233400,2005,61,0.672,0.814,7,-3.768,1,0.27,0.258,0,0.164,0.379,97.043,Hip-hop
Snoop Dogg,Drop It Like It's Hot,266066,2004,39,0.892,0.628,1,-3.832,1,0.216,0.169,0,0.102,0.676,92.063,"Hip-hop, Pop"
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,211320,2005,41,0.905,0.55,1,-7.558,1,0.372,0.0628,0,0.0644,0.52,100.813,"Hip-hop, Pop"
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),325573,2004,63,0.878,0.417,7,-6.799,1,0.361,0.0444,0,0.0833,0.904,77.49,"Pop, R&B"
Ciara,"1, 2 Step (feat. Missy Elliott) - Main",202213,2005,52,0.939,0.498,5,-10.94,0,0.161,0.0444,0.00128,0.0475,0.801,113.053,"Pop, R&B"
Amerie,1 Thing,238746,2008,52,0.636,0.946,10,-4.683,0,0.332,0.115,3.75E-05,0.0416,0.891,125.085,"Hip-hop, Pop, R&B"
Ludacris,Get Back,270746,2004,59,0.555,0.639,1,-5.16,1,0.263,0.0594,0,0.118,0.184,171.609,"Hip-hop, Pop"
Franz Ferdinand,Do You Want To,215000,2005,61,0.412,0.944,0,-2.896,1,0.0448,0.0724,0.000493,0.801,0.79,123.091,Rock
Natalie Imbruglia,Shiver,222653,2005,52,0.489,0.798,1,-4.49,1,0.0316,0.00115,2.81E-06,0.149,0.309,94.163,"Pop, Folk/Acoustic"
Gwen Stefani,Hollaback Girl,199853,2004,69,0.926,0.916,10,-2.221,0,0.0929,0.35,6.17E-06,0.0234,0.904,110.007,"Pop, R&B"
Pretty Ricky,Your Body,240040,2005,59,0.838,0.594,4,-5.695,0,0.113,0.176,0,0.0867,0.507,90.038,"Hip-hop, Pop, R&B"
Thirty Seconds To Mars,The Kill,231533,2005,74,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,Rock
Alicia Keys,Karma,256000,2003,50,0.727,0.736,10,-6.203,1,0.0615,0.0743,0.00311,0.0348,0.687,85.098,"Pop, R&B"
2Pac,Ghetto Gospel,238053,2004,68,0.794,0.614,5,-5.352,0,0.0467,0.0964,0,0.0788,0.663,80.569,Hip-hop
Craig David,Don't Love You No More (I'm Sorry),243986,2005,56,0.636,0.558,7,-7.076,1,0.0245,0.462,0,0.062,0.572,100.113,"Hip-hop, Pop, R&B"
Katie Melua,Nine Million Bicycles,197160,2005,60,0.534,0.247,0,-15.636,1,0.0322,0.516,0.00859,0.122,0.344,82.168,"Pop, easy listening, Jazz"
Lil Jon & The East Side Boyz,Lovers And Friends,260600,2004,66,0.675,0.501,10,-6.183,1,0.22,0.0541,0,0.429,0.532,139.861,"Hip-hop, Pop"
Mariah Carey,Don't Forget About Us - Radio Edit,233866,2005,0,0.7,0.529,10,-6.816,0,0.0395,0.0422,0,0.101,0.386,143.555,"Pop, R&B"
Ying Yang Twins,Wait (The Whisper Song),179160,2005,57,0.933,0.513,7,-13.203,1,0.347,0.00112,0.00248,0.107,0.595,102.017,"Hip-hop, Pop"
Will Smith,Switch,197666,2020,34,0.873,0.9,5,-4.325,0,0.18,0.0107,0.000502,0.556,0.478,102.516,"Hip-hop, Pop"
Bow Wow,Like You (feat. Ciara),205840,2005,66,0.714,0.6,6,-8.365,1,0.0876,0.0465,0,0.0646,0.504,82.017,"Hip-hop, Pop, R&B"
Kaiser Chiefs,Everyday I Love You Less And Less,217706,2005,58,0.49,0.956,1,-4.556,0,0.0407,0.00466,6.15E-06,0.242,0.577,160.028,Rock
Kelly Clarkson,Behind These Hazel Eyes,198973,2004,59,0.548,0.889,9,-4.682,1,0.0382,0.00165,0.00109,0.197,0.425,90.048,"Pop, R&B"
Black Eyed Peas,Don't Lie,219000,2005,61,0.662,0.785,9,-5.299,1,0.186,0.16,0,0.0784,0.604,89.885,"Hip-hop, Pop"
Westlife,You Raise Me Up,241066,2005,1,0.129,0.358,10,-6.596,1,0.0314,0.631,0,0.0886,0.172,75.048,Pop
Ray J,One Wish,337640,2005,62,0.525,0.652,5,-7.042,0,0.28,0.278,0,0.339,0.602,127.673,"Hip-hop, Pop, R&B"
Papa Roach,Scars,208199,2004,60,0.455,0.929,11,-3.295,1,0.0494,0.0875,0,0.226,0.484,89.782,"Rock, Metal"
Arctic Monkeys,I Bet You Look Good On The Dancefloor,173680,2006,71,0.535,0.948,6,-4.19,0,0.0356,0.00225,0,0.376,0.778,103.183,Rock
Shayne Ward,That's My Goal,219600,2006,1,0.286,0.508,2,-5.966,1,0.0336,0.372,0,0.27,0.14,68.637,Pop
Bow Wow,Let Me Hold You (feat. Omarion),248493,2005,62,0.815,0.662,6,-8.244,1,0.199,0.0915,0.000409,0.0898,0.611,151.518,"Hip-hop, Pop, R&B"
Kaiser Chiefs,I Predict A Riot,233186,2005,63,0.395,0.979,8,-3.241,1,0.0766,0.0243,0,0.12,0.41,158.842,Rock
Usher,Caught Up,224640,2004,61,0.817,0.806,6,-4.606,1,0.0623,0.027,9.00E-06,0.119,0.805,110.086,"Hip-hop, Pop, R&B"
Kelly Clarkson,Because of You,219493,2004,71,0.587,0.583,5,-5.284,0,0.0313,0.248,0,0.124,0.15,139.92,"Pop, R&B"
3 Doors Down,Let Me Go,243053,2012,52,0.478,0.863,1,-4.914,0,0.0387,0.0181,0,0.111,0.491,92.004,"Pop, Rock, Metal"
Nickelback,Photograph,258920,2005,67,0.515,0.876,8,-3.756,1,0.0292,0.000932,0.000166,0.136,0.385,145.916,"Rock, Metal"
